New frame
Conqueror: 0 54
Conqueror: 24 54
Conqueror: 20 20
Conqueror: 0 0
Conqueror: 0 122
Conqueror: 14 81
Conqueror: 0 81
Conqueror: 25 66
Conqueror: 24 65
Conqueror: 52 54
Conqueror: 37 54
Conqueror: 13 76
Conqueror: 19 84
Conqueror: 70 83
Conqueror: 16 97
Conqueror: 17 46
Conqueror: 17 37
Conqueror: 48 54
Conqueror: 19 54
Conqueror: 19 128
Conqueror: 37 100
Conqueror: 19 100
Conqueror: 32 89
Conqueror: 15 43
Conqueror: 13 43
Conqueror: 32 65
Conqueror: 70 65
Conqueror: 9 66
Conqueror: 8 53
Conqueror: 9 58
Conqueror: 20 28
Conqueror: 37 42
Conqueror: 12 42
Conqueror: 12 29
Conqueror: 14 30
Conqueror: 7 122
Conqueror: 7 23
Conqueror: 21 81
Conqueror: 7 81
Conqueror: 4 27
Conqueror: 7 23
Conqueror: 14 23
Conqueror: 2 39
Conqueror: 0 54
Conqueror: 32 54
Conqueror: 0 0
Conqueror: 0 0
Conqueror: 12 23
Conqueror: 27 66
Conqueror: 26 65
Conqueror: 54 54
Conqueror: 41 54
Conqueror: 16 76
Conqueror: 23 84
Conqueror: 20 97
Conqueror: 20 46
Conqueror: 25 128
Conqueror: 20 37
Conqueror: 54 54
Conqueror: 23 54
Conqueror: 41 100
Conqueror: 25 100
Conqueror: 13 66
Conqueror: 18 43
Conqueror: 16 43
Conqueror: 12 53
Conqueror: 13 58
Conqueror: 41 42
Conqueror: 17 42
Conqueror: 24 28
Conqueror: 14 122
Conqueror: 17 29
Conqueror: 20 30
Conqueror: 28 81
Conqueror: 14 81
Conqueror: 6 39
Conqueror: 8 27
Conqueror: 12 23
Conqueror: 12 23
Conqueror: 20 23
Conqueror: 7 54
Conqueror: 40 54
Conqueror: 5 90
Conqueror: 40 89
Conqueror: 5 89
Conqueror: 0 31
Conqueror: 18 23
Conqueror: 0 23
Conqueror: 0 19
Conqueror: 0 50
Conqueror: 0 83
Conqueror: 0 20
Conqueror: 29 66
Conqueror: 19 76
Conqueror: 27 84
Conqueror: 24 97
Conqueror: 23 46
Conqueror: 31 128
Conqueror: 45 100
Conqueror: 31 100
Conqueror: 23 37
Conqueror: 17 66
Conqueror: 21 43
Conqueror: 19 43
Conqueror: 17 58
Conqueror: 45 42
Conqueror: 22 42
Conqueror: 21 122
Conqueror: 28 28
Conqueror: 10 39
Conqueror: 35 81
Conqueror: 21 81
Conqueror: 22 29
Conqueror: 12 90
Conqueror: 26 30
Conqueror: 12 27
Conqueror: 48 89
Conqueror: 12 89
Conqueror: 14 54
Conqueror: 48 54
Conqueror: 17 23
Conqueror: 17 23
Conqueror: 26 23
Conqueror: 7 83
Conqueror: 7 50
Conqueror: 5 31
Conqueror: 24 23
Conqueror: 6 23
Conqueror: 5 20
Conqueror: 7 19
Conqueror: 28 65
Conqueror: 0 0
Conqueror: 27 0
Conqueror: 0 0
Conqueror: 16 53
Conqueror: 31 66
Conqueror: 22 76
Conqueror: 27 72
Conqueror: 28 97
Conqueror: 26 46
Conqueror: 49 100
Conqueror: 37 100
Conqueror: 37 128
Conqueror: 21 66
Conqueror: 26 37
Conqueror: 24 43
Conqueror: 22 43
Conqueror: 20 53
Conqueror: 27 53
Conqueror: 21 58
